"","var_covariance_structures","var_samplesizes","var_dimensionalities","var_effectsizes","powers_glob","powers_mctp","powers_mctp_modified","powers_cauchy","powers_fisher"
"202","Toeplitz",10,10,0.03,0.0873,0.0618,0.0775,0.1847,0.2407
"203","Toeplitz",10,10,0.05,0.1512,0.0904,0.1276,0.1373,0.3345
"204","Toeplitz",10,10,0.07,0.2439,0.1385,0.1974,0.0891,0.4563
"205","Toeplitz",10,10,0.1,0.4398,0.2701,0.3735,0.0386,0.666
"206","Toeplitz",10,20,0.01,0.0687,0.0451,0.0566,0.2903,0.1966
"207","Toeplitz",10,20,0.03,0.1921,0.1024,0.146,0.1822,0.367
"208","Toeplitz",10,20,0.05,0.4522,0.2381,0.3428,0.0688,0.6459
"209","Toeplitz",10,20,0.07,0.7138,0.4421,0.5975,0.0164,0.8546
"210","Toeplitz",10,20,0.1,0.952,0.7673,0.8956,6e-04,0.9869
"211","Toeplitz",10,30,0.01,0.0907,0.0468,0.0621,0.3429,0.2117
"212","Toeplitz",10,30,0.03,0.3724,0.1666,0.2546,0.1347,0.544
"213","Toeplitz",10,30,0.05,0.7798,0.4729,0.6384,0.0164,0.8893
"214","Toeplitz",10,30,0.07,0.9652,0.7767,0.9059,5e-04,0.989
"215","Toeplitz",10,30,0.1,0.9996,0.9778,0.9976,0,1
"216","Toeplitz",10,50,0.01,0.1516,0.0671,0.0924,0.3652,0.2743
"217","Toeplitz",10,50,0.03,0.7758,0.4309,0.6044,0.0312,0.8684
"218","Toeplitz",10,50,0.05,0.9942,0.8823,0.9659,0,0.9976
"219","Toeplitz",10,50,0.07,1,0.9917,0.9998,0,1
"220","Toeplitz",10,50,0.1,1,0.9999,1,0,1
"221","Toeplitz",20,10,0.01,0.0598,0.0434,0.0483,0.2033,0.1913
"222","Toeplitz",20,10,0.03,0.1328,0.081,0.1041,0.1497,0.308
"223","Toeplitz",20,10,0.05,0.273,0.1612,0.2133,0.0888,0.4817
"224","Toeplitz",20,10,0.07,0.4669,0.3028,0.3798,0.0378,0.6723
"225","Toeplitz",20,10,0.1,0.7734,0.5878,0.6905,0.0079,0.8941
"226","Toeplitz",20,20,0.01,0.0899,0.0517,0.0594,0.2814,0.21
"227","Toeplitz",20,20,0.03,0.3698,0.208,0.2658,0.1065,0.5507
"228","Toeplitz",20,20,0.05,0.7742,0.5414,0.6583,0.0139,0.8812
"229","Toeplitz",20,20,0.07,0.9676,0.8625,0.9267,4e-04,0.9899
"230","Toeplitz",20,20,0.1,0.9999,0.995,0.9987,0,1
"231","Toeplitz",20,30,0.01,0.1389,0.0574,0.0761,0.3061,0.2606
"232","Toeplitz",20,30,0.03,0.6896,0.4132,0.5327,0.0381,0.806
"233","Toeplitz",20,30,0.05,0.9814,0.9002,0.9504,7e-04,0.9938
"234","Toeplitz",20,30,0.07,0.9999,0.9971,0.9994,0,1
"235","Toeplitz",20,30,0.1,1,1,1,0,1
"236","Toeplitz",20,50,0.01,0.2763,0.1085,0.1489,0.2712,0.4012
"237","Toeplitz",20,50,0.03,0.9831,0.8695,0.9399,8e-04,0.9922
"238","Toeplitz",20,50,0.05,1,0.9999,1,0,1
"239","Toeplitz",20,50,0.07,1,1,1,0,1
"240","Toeplitz",20,50,0.1,1,1,1,0,1
"241","Toeplitz",30,10,0.01,0.0591,0.043,0.0477,0.1949,0.1878
"242","Toeplitz",30,10,0.03,0.1683,0.1003,0.1286,0.1271,0.3427
"243","Toeplitz",30,10,0.05,0.3862,0.2425,0.3009,0.0538,0.5877
"244","Toeplitz",30,10,0.07,0.6482,0.473,0.5573,0.0191,0.8034
"245","Toeplitz",30,10,0.1,0.9165,0.8121,0.8711,9e-04,0.9698
"246","Toeplitz",30,20,0.01,0.1045,0.0565,0.0671,0.2735,0.2318
"247","Toeplitz",30,20,0.03,0.5303,0.3167,0.3991,0.0595,0.6995
"248","Toeplitz",30,20,0.05,0.9187,0.7753,0.8506,0.0027,0.9658
"249","Toeplitz",30,20,0.07,0.9976,0.9811,0.9918,1e-04,0.9995
"250","Toeplitz",30,20,0.1,1,1,1,0,1
"251","Toeplitz",30,30,0.01,0.1612,0.0714,0.0943,0.2786,0.2916
"252","Toeplitz",30,30,0.03,0.8607,0.6489,0.7442,0.0115,0.9256
"253","Toeplitz",30,30,0.05,0.999,0.9891,0.9966,0,0.9997
"254","Toeplitz",30,30,0.07,1,1,1,0,1
"255","Toeplitz",30,30,0.1,1,1,1,0,1
"256","Toeplitz",30,50,0.01,0.3946,0.1708,0.2278,0.1969,0.5197
"257","Toeplitz",30,50,0.03,0.9992,0.9854,0.9953,0,0.9998
"258","Toeplitz",30,50,0.05,1,1,1,0,1
"259","Toeplitz",30,50,0.07,1,1,1,0,1
"260","Toeplitz",30,50,0.1,1,1,1,0,1
"261","Toeplitz",40,10,0.01,0.0741,0.0508,0.055,0.1978,0.2026
"262","Toeplitz",40,10,0.03,0.2172,0.1361,0.1637,0.1101,0.405
"263","Toeplitz",40,10,0.05,0.487,0.3349,0.4006,0.0398,0.6832
"264","Toeplitz",40,10,0.07,0.7809,0.6194,0.6978,0.0063,0.8975
"265","Toeplitz",40,10,0.1,0.9748,0.9207,0.9546,0,0.9939
"266","Toeplitz",40,20,0.01,0.1232,0.0643,0.0796,0.2609,0.2537
"267","Toeplitz",40,20,0.03,0.6523,0.4394,0.5289,0.0335,0.7873
"268","Toeplitz",40,20,0.05,0.9791,0.9129,0.9506,6e-04,0.9933
"269","Toeplitz",40,20,0.07,1,0.9989,0.9996,0,1
"270","Toeplitz",40,20,0.1,1,1,1,0,1
"271","Toeplitz",40,30,0.01,0.221,0.1018,0.1299,0.2388,0.3613
"272","Toeplitz",40,30,0.03,0.9428,0.8087,0.8753,0.0025,0.9748
"273","Toeplitz",40,30,0.05,1,0.9994,0.9998,0,1
"274","Toeplitz",40,30,0.07,1,1,1,0,1
"275","Toeplitz",40,30,0.1,1,1,1,0,1
"276","Toeplitz",40,50,0.01,0.5059,0.2461,0.3185,0.1361,0.6261
"277","Toeplitz",40,50,0.03,1,0.999,0.9997,0,1
"278","Toeplitz",40,50,0.05,1,1,1,0,1
"279","Toeplitz",40,50,0.07,1,1,1,0,1
"280","Toeplitz",40,50,0.1,1,1,1,0,1
"281","Toeplitz",50,10,0.01,0.0715,0.0504,0.0558,0.1902,0.2073
"282","Toeplitz",50,10,0.03,0.2654,0.1664,0.2018,0.0931,0.4507
"283","Toeplitz",50,10,0.05,0.5796,0.4171,0.4894,0.0282,0.7566
"284","Toeplitz",50,10,0.07,0.8682,0.7359,0.8032,0.0027,0.9467
"285","Toeplitz",50,10,0.1,0.9929,0.9718,0.9838,0,0.999
"286","Toeplitz",50,20,0.01,0.1398,0.0721,0.087,0.2368,0.2826
"287","Toeplitz",50,20,0.03,0.755,0.5477,0.6381,0.017,0.8607
"288","Toeplitz",50,20,0.05,0.994,0.9687,0.985,0,0.9985
"289","Toeplitz",50,20,0.07,1,1,1,0,1
"290","Toeplitz",50,20,0.1,1,1,1,0,1
"291","Toeplitz",50,30,0.01,0.2634,0.1217,0.1569,0.2163,0.4077
"292","Toeplitz",50,30,0.03,0.9816,0.9089,0.9499,3e-04,0.9937
"293","Toeplitz",50,30,0.05,1,0.9999,0.9999,0,1
"294","Toeplitz",50,30,0.07,1,1,1,0,1
"295","Toeplitz",50,30,0.1,1,1,1,0,1
"296","Toeplitz",50,50,0.01,0.6006,0.3272,0.4047,0.0995,0.7108
"297","Toeplitz",50,50,0.03,1,1,1,0,1
"298","Toeplitz",50,50,0.05,1,1,1,0,1
"299","Toeplitz",50,50,0.07,1,1,1,0,1
"300","Toeplitz",50,50,0.1,1,1,1,0,1
