"","covariance_structures","correlation_abs","sample_sizes","power_global","power_max"
"534","AR(2)",0.9,8,"0.98","0.98"
"535","AR(2)",0.9,9,"0.998","0.996"
"536","AR(2)",0.9,10,"0.999","1"
"537","AR(2)",0.9,11,"1","1"
"538","AR(2)",0.9,21,"1","1"
"539","AR(2)",0.9,31,"1","1"
"540","AR(2)",0.9,41,"1","1"
"541","AR(2)",0.9,51,"1","1"
"542","AR(2)",0.9,61,"1","1"
"543","AR(2)",0.9,71,"1","1"
"544","AR(2)",0.9,81,"1","1"
"545","AR(2)",0.9,91,"1","1"
"546","AR(2)",1,3,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"547","AR(2)",1,4,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"548","AR(2)",1,5,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"549","AR(2)",1,6,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"550","AR(2)",1,7,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"551","AR(2)",1,8,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"552","AR(2)",1,9,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"553","AR(2)",1,10,"Covarince matrix non-invertible","Covariance matrix non-invertible"
"554","AR(2)",1,11,"Covarince matrix non-invertible","Covariance matrix non-invertible"
